sl_no,gender,hsc_p,hsc_s,degree_p,degree_t,etest_p,specialisation,mba_p,salary
1,M,91.0,Commerce,58.0,Sci&Tech,55.0,Mkt&HR,58.8,270000.0
2,M,78.33,Science,77.48,Sci&Tech,86.5,Mkt&Fin,66.28,200000.0
3,M,70.00089041095892,Arts,64.0,Comm&Mgmt,75.0,Mkt&Fin,57.8,250000.0
5,M,73.6,Commerce,73.3,Comm&Mgmt,96.8,Mkt&Fin,55.5,425000.0
8,M,64.0,Science,66.0,Sci&Tech,67.0,Mkt&Fin,62.14,252000.0
9,M,79.0,Commerce,72.0,Comm&Mgmt,91.34,Mkt&Fin,61.29,231000.0
11,M,70.00089041095892,Commerce,60.0,Comm&Mgmt,62.0,Mkt&HR,60.85,260000.0
12,M,68.4,Commerce,78.3,Comm&Mgmt,60.0,Mkt&Fin,63.7,250000.0
14,F,87.0,Commerce,59.0,Comm&Mgmt,68.0,Mkt&Fin,68.63,218000.0
16,F,75.0,Commerce,69.0,Comm&Mgmt,72.0,Mkt&Fin,64.66,200000.0
17,M,66.2,Commerce,65.6,Comm&Mgmt,60.0,Mkt&Fin,62.54,300000.0
20,M,67.0,Arts,68.73197278911564,Comm&Mgmt,50.48,Mkt&Fin,77.89,236000.0
21,M,65.0,Commerce,66.0,Comm&Mgmt,50.0,Mkt&HR,56.7,265000.0
22,F,76.0,Commerce,85.0,Comm&Mgmt,95.0,Mkt&Fin,69.06,393000.0
23,F,60.8,Science,72.23,Sci&Tech,55.53,Mkt&HR,68.81,360000.0
24,F,60.0,Science,64.74,Sci&Tech,92.0,Mkt&Fin,63.62,300000.0
25,M,97.7,Science,78.86,Sci&Tech,97.4,Mkt&Fin,74.01,360000.0
27,M,79.0,Commerce,66.0,Comm&Mgmt,94.0,Mkt&Fin,57.55,240000.0
28,M,67.0,Commerce,66.0,Comm&Mgmt,68.0,Mkt&HR,57.69,265000.0
29,M,76.5,Commerce,67.5,Comm&Mgmt,73.35,Mkt&Fin,64.15,350000.0
31,F,73.5,Commerce,73.0,Comm&Mgmt,52.0,Mkt&HR,56.7,250000.0
33,F,81.0,Commerce,66.4,Comm&Mgmt,50.89,Mkt&HR,62.21,278000.0
