time,pm2_5,pm10,nitrogen_dioxide,ozone
2026-08-09 00:00:00,4.3,5.0,12.9,30.0
2026-08-09 01:00:00,3.3,3.8,9.8,32.0
2026-08-09 02:00:00,2.7,3.2,7.5,33.0
2026-08-09 03:00:00,2.5,3.2,6.2,34.0
2026-08-09 04:00:00,2.4,3.4,5.7,34.0
2026-08-09 05:00:00,2.2,2.8,6.0,34.0
2026-08-09 06:00:00,2.2,2.8,5.9,35.0
2026-08-09 07:00:00,2.4,3.2,5.7,37.0
2026-08-09 08:00:00,2.8,4.3,5.2,40.0
2026-08-09 09:00:00,3.4,4.8,4.2,47.0
2026-08-09 10:00:00,3.8,7.0,2.9,55.0
2026-08-09 11:00:00,3.8,7.1,2.1,61.0
2026-08-09 12:00:00,4.6,9.1,1.9,63.0
2026-08-09 13:00:00,5.2,10.7,2.2,63.0
2026-08-09 14:00:00,7.4,15.7,3.0,62.0
2026-08-09 15:00:00,6.8,13.6,4.7,62.0
2026-08-09 16:00:00,7.2,12.5,6.9,62.0
2026-08-09 17:00:00,12.1,22.1,9.9,55.0
2026-08-09 18:00:00,14.1,21.9,13.1,49.0
2026-08-09 19:00:00,14.2,20.8,17.4,42.0
2026-08-09 20:00:00,13.1,18.4,19.9,36.0
2026-08-09 21:00:00,11.2,15.1,18.9,35.0
2026-08-09 22:00:00,10.1,12.9,16.2,36.0
2026-08-09 23:00:00,8.8,11.0,13.5,36.0
2026-08-10 00:00:00,7.1,8.9,11.5,35.0
2026-08-10 01:00:00,6.0,7.6,9.6,34.0
2026-08-10 02:00:00,5.1,6.7,8.1,33.0
2026-08-10 03:00:00,4.5,6.2,7.0,32.0
2026-08-10 04:00:00,4.0,5.8,6.2,31.0
2026-08-10 05:00:00,3.9,5.6,6.0,32.0
2026-08-10 06:00:00,4.1,5.6,7.2,31.0
2026-08-10 07:00:00,4.1,5.8,8.8,29.0
2026-08-10 08:00:00,4.9,6.6,9.3,31.0
2026-08-10 09:00:00,4.9,7.1,7.8,40.0
2026-08-10 10:00:00,5.4,9.0,5.2,52.0
2026-08-10 11:00:00,6.3,11.3,3.2,63.0
2026-08-10 12:00:00,7.0,13.0,2.2,71.0
2026-08-10 13:00:00,7.5,14.2,1.8,77.0
2026-08-10 14:00:00,7.4,14.6,2.8,79.0
2026-08-10 15:00:00,7.6,15.4,5.9,73.0
2026-08-10 16:00:00,8.4,14.8,10.4,63.0
2026-08-10 17:00:00,9.8,14.3,17.4,50.0
2026-08-10 18:00:00,10.3,13.8,22.4,42.0
2026-08-10 19:00:00,12.9,16.1,29.1,31.0
2026-08-10 20:00:00,13.3,16.4,32.8,23.0
2026-08-10 21:00:00,12.2,15.2,30.8,22.0
2026-08-10 22:00:00,11.2,14.0,25.8,24.0
2026-08-10 23:00:00,10.0,12.5,21.1,26.0
2026-08-11 00:00:00,8.4,10.7,17.8,26.0
2026-08-11 01:00:00,7.2,9.2,14.8,26.0
2026-08-11 02:00:00,6.2,8.0,12.4,26.0
2026-08-11 03:00:00,5.6,7.5,10.8,26.0
2026-08-11 04:00:00,5.4,7.6,9.9,26.0
