title,price,rating
A Light in the Attic,"₹6,714.57",3
Tipping the Velvet,"₹6,970.08",1
Soumission,"₹6,497.97",1
Sharp Objects,"₹6,202.25",4
Sapiens: A Brief History of Humankind,"₹7,033.63",5
The Requiem Red,"₹2,937.70",1
The Dirty Little Secrets of Getting Your Dream Job,"₹4,324.20",4
"The Coming Woman: A Novel Based on the Life of the Infamous Feminist, Victoria Woodhull","₹2,325.52",3
The Boys in the Boat: Nine Americans and Their Epic Quest for Gold at the 1936 Berlin Olympics,"₹2,931.22",4
The Black Maria,"₹6,763.85",1
"Starving Hearts (Triangular Trade Trilogy, #1)","₹1,814.50",2
Shakespeare's Sonnets,"₹2,679.60",4
Set Me Free,"₹2,264.56",5
Scott Pilgrim's Precious Little Life (Scott Pilgrim #1),"₹6,782.01",5
Rip it Up and Start Again,"₹4,542.09",5
"Our Band Could Be Your Life: Scenes from the American Indie Underground, 1981-1991","₹7,425.32",3
Olio,"₹3,097.24",1
Mesaerion: The Best Science Fiction Stories 1800-1849,"₹4,875.42",1
Libertarianism for Beginners,"₹6,657.50",2
It's Only the Himalayas,"₹5,858.55",2
In Her Wake,"₹1,665.35",1
How Music Works,"₹4,840.40",2
"Foolproof Preserving: A Guide to Small Batch Jams, Jellies, Pickles, Condiments, and More: A Foolproof Guide to Making Small Batch Jams, Jellies, Pickles, Condiments, and More","₹3,958.44",3
Chase Me (Paris Nights #2),"₹3,277.52",5
Black Dust,"₹4,478.54",5
Birdsong: A Story in Pictures,"₹7,086.81",3
America's Cradle of Quarterbacks: Western Pennsylvania's Football Factory from Johnny Unitas to Joe Montana,"₹2,918.25",3
Aladdin and His Wonderful Lamp,"₹6,890.96",3
Worlds Elsewhere: Journeys Around Shakespeare’s Globe,"₹5,226.91",5
Wall and Piece,"₹5,730.15",4
The Four Agreements: A Practical Guide to Personal Freedom,"₹2,290.50",5
The Five Love Languages: How to Express Heartfelt Commitment to Your Mate,"₹4,027.18",3
The Elephant Tree,"₹3,089.45",5
The Bear and the Piano,"₹4,784.63",1
Sophie's World,"₹2,067.42",5
Penny Maybe,"₹4,317.71",3
Maude (1883-1993):She Grew Up with the country,"₹2,337.19",2
"In a Dark, Dark Wood","₹2,546.01",1
Behind Closed Doors,"₹6,772.93",4
You can't bury them all: Poems,"₹4,361.81",2
Slow States of Collapse: Poems,"₹7,433.11",3
Reasons to Stay Alive,"₹3,425.38",2
Private Paris (Private #10),"₹6,175.02",5
#HigherSelfie: Wake Up Your Life. Free Your Soul. Find Your Tribe.,"₹2,997.37",5
Without Borders (Wanderlove #1),"₹5,845.58",2
When We Collided,"₹4,120.57",1
"We Love You, Charlie Freeman","₹6,520.02",5
Untitled Collection: Sabbath Poems 2014,"₹1,850.82",4
"Unseen City: The Majesty of Pigeons, the Discreet Charm of Snails & Other Wonders of the Urban Wilderness","₹5,730.15",4
Unicorn Tracks,"₹2,435.77",3
"Unbound: How Eight Technologies Made Us Human, Transformed Society, and Brought Our World to the Brink","₹3,309.94",1
Tsubasa: WoRLD CHRoNiCLE 2 (Tsubasa WoRLD CHRoNiCLE #2),"₹2,111.52",1
